flight_id,airline,origin,destination,departure_delay,arrival_delay,distance,date
1,IndiGo,Hyderabad,Pune,13,14,987,2023-10-07
2,IndiGo,Chennai,Delhi,15,24,938,2023-05-28
3,IndiGo,Ahmedabad,Delhi,8,8,778,2023-07-09
4,IndiGo,Kolkata,Mumbai,22,27,1318,2023-02-21
5,IndiGo,Chennai,Bangalore,6,10,817,2023-04-04
6,IndiGo,Kolkata,Mumbai,6,6,459,2023-02-02
7,IndiGo,Mumbai,Kolkata,11,4,1461,2023-01-02
8,IndiGo,Kolkata,Pune,-3,-3,804,2023-01-19
9,IndiGo,Hyderabad,Pune,1,4,776,2023-07-30
10,IndiGo,Bangalore,Hyderabad,2,-3,1343,2023-02-01
11,IndiGo,Delhi,Chennai,21,21,1909,2023-09-04
12,IndiGo,Chennai,Pune,10,5,1018,2023-11-07
13,IndiGo,Ahmedabad,Chennai,5,7,419,2023-11-24
14,IndiGo,Hyderabad,Mumbai,0,3,516,2023-05-01
15,IndiGo,Pune,Bangalore,5,5,572,2023-10-27
16,IndiGo,Chennai,Kolkata,5,16,1665,2023-02-14
17,IndiGo,Ahmedabad,Pune,9,6,1937,2023-07-07
18,IndiGo,Hyderabad,Chennai,16,12,1871,2023-08-27
19,IndiGo,Delhi,Chennai,11,4,868,2023-06-15
20,IndiGo,Ahmedabad,Pune,0,2,1275,2023-12-28
21,IndiGo,Chennai,Mumbai,15,17,981,2023-12-10
22,IndiGo,Bangalore,Mumbai,9,9,848,2023-05-27
23,IndiGo,Pune,Delhi,-1,-2,697,2023-06-09
24,IndiGo,Kolkata,Hyderabad,6,13,943,2023-07-21
25,IndiGo,Hyderabad,Delhi,12,6,775,2023-07-27
26,IndiGo,Pune,Kolkata,12,12,463,2023-05-30
27,IndiGo,Ahmedabad,Delhi,4,9,1172,2023-12-28
28,IndiGo,Chennai,Kolkata,18,24,1077,2023-03-10
29,IndiGo,Hyderabad,Kolkata,3,3,1714,2023-03-16
30,IndiGo,Ahmedabad,Kolkata,12,18,1492,2023-06-14
31,IndiGo,Mumbai,Ahmedabad,6,7,1976,2023-08-24
32,IndiGo,Chennai,Hyderabad,1,-2,1394,2023-06-23
33,IndiGo,Bangalore,Chennai,16,24,980,2023-03-03
34,IndiGo,Pune,Chennai,9,16,1964,2023-01-04
35,IndiGo,Chennai,Kolkata,12,11,1628,2023-10-20
36,IndiGo,Kolkata,Bangalore,12,21,1330,2023-08-13
37,IndiGo,Delhi,Ahmedabad,9,18,812,2023-10-09
38,IndiGo,Mumbai,Chennai,-5,-4,1676,2023-07-28
39,IndiGo,Mumbai,Delhi,10,10,939,2023-05-12
40,IndiGo,Pune,Bangalore,10,3,1720,2023-12-03
41,IndiGo,Pune,Hyderabad,8,11,1160,2023-02-14
42,IndiGo,Kolkata,Mumbai,21,21,544,2023-09-20
43,IndiGo,Kolkata,Bangalore,3,3,514,2023-12-10
44,IndiGo,Chennai,Delhi,17,20,990,2023-07-16
45,IndiGo,Delhi,Chennai,5,9,902,2023-08-09
46,IndiGo,Chennai,Bangalore,10,16,1379,2023-08-31
47,IndiGo,Ahmedabad,Mumbai,4,4,1123,2023-11-13
48,IndiGo,Kolkata,Bangalore,6,1,1909,2023-11-21
49,IndiGo,Bangalore,Delhi,12,15,1102,2023-05-10
50,IndiGo,Chennai,Delhi,10,10,709,2023-10-28
51,IndiGo,Hyderabad,Bangalore,-1,-1,482,2023-08-22
52,IndiGo,Chennai,Ahmedabad,7,5,1178,2023-05-20
53,IndiGo,Delhi,Ahmedabad,8,12,954,2023-08-29
54,IndiGo,Pune,Delhi,25,27,1995,2023-05-31
55,IndiGo,Mumbai,Ahmedabad,12,13,1981,2023-01-06
56,IndiGo,Bangalore,Hyderabad,-5,-4,857,2023-03-25
57,IndiGo,Delhi,Hyderabad,10,24,1312,2023-04-27
58,IndiGo,Hyderabad,Ahmedabad,8,11,1821,2023-05-06
59,IndiGo,Hyderabad,Bangalore,9,6,1914,2023-03-16
60,IndiGo,Kolkata,Bangalore,19,24,538,2023-01-20
61,IndiGo,Hyderabad,Pune,16,14,781,2023-10-20
62,IndiGo,Delhi,Kolkata,21,16,1430,2023-11-18
63,IndiGo,Pune,Delhi,14,26,892,2023-09-28
64,IndiGo,Ahmedabad,Hyderabad,2,2,446,2023-06-16
65,IndiGo,Hyderabad,Bangalore,10,10,517,2023-02-03
66,IndiGo,Mumbai,Ahmedabad,-2,0,1491,2023-09-02
67,IndiGo,Hyderabad,Bangalore,1,5,1437,2023-06-23
68,IndiGo,Ahmedabad,Hyderabad,2,11,1051,2023-12-08
69,IndiGo,Mumbai,Kolkata,3,3,1328,2023-05-14
70,IndiGo,Mumbai,Kolkata,16,12,956,2023-03-17
71,IndiGo,Hyderabad,Delhi,11,19,773,2023-05-05
72,IndiGo,Bangalore,Ahmedabad,-2,0,1544,2023-08-15
73,IndiGo,Bangalore,Pune,12,17,789,2023-03-23
74,IndiGo,Ahmedabad,Pune,0,-4,1321,2023-12-07
75,IndiGo,Ahmedabad,Hyderabad,14,17,499,2023-08-13
76,IndiGo,Delhi,Kolkata,12,15,1283,2023-12-11
77,IndiGo,Chennai,Kolkata,4,7,1836,2023-06-12
78,IndiGo,Kolkata,Pune,12,11,496,2023-08-10
79,IndiGo,Chennai,Bangalore,24,28,1829,2023-06-07
80,IndiGo,Pune,Ahmedabad,0,5,1195,2023-01-19
81,IndiGo,Mumbai,Delhi,2,7,1209,2023-11-14
82,IndiGo,Chennai,Delhi,19,17,983,2023-02-18
83,IndiGo,Kolkata,Mumbai,17,21,1453,2023-09-22
84,IndiGo,Pune,Kolkata,16,27,551,2023-10-29
85,IndiGo,Mumbai,Bangalore,8,7,1287,2023-11-09
86,IndiGo,Mumbai,Ahmedabad,2,0,654,2023-05-26
87,IndiGo,Pune,Chennai,9,12,957,2023-11-27
88,IndiGo,Kolkata,Mumbai,12,18,1729,2023-09-07
